Kingdom	Phylum	Class	Order	Family	Genus	SP.Fe.Su.a.1	SP.Fe.Su.a.2	SP.Fe.Su.B.1	SP.Fe.Su.B.2	SP.Fe.Su.C.1	SP.Fe.Su.C.2	SP.Fe.Su.Ch.1	SP.Fe.Su.Ch.2	SP.Fe.Su.Li.1	SP.Fe.Su.Li.2	SP.Fe.Su.m.1	SP.Fe.Su.m.2	SP.Fe.Su.NC.1	SP.Fe.Su.NC.2	SP.Fe.Su.P.1	SP.Fe.Su.P.2	SP.S.Su.a.1	SP.S.Su.a.2	SP.S.Su.B.1	SP.S.Su.B.2	SP.S.Su.C.1	SP.S.Su.C.2	SP.S.Su.Ch.1	SP.S.Su.Ch.2	SP.S.Su.Li.1	SP.S.Su.Li.2	SP.S.Su.m.1	SP.S.Su.m.2	SP.S.Su.NC.1	SP.S.Su.NC.2	SP.S.Su.P.1	SP.S.Su.P.2	SP.SO4.Su.a.1	SP.SO4.Su.a.2	SP.SO4.Su.B.1	SP.SO4.Su.B.2	SP.SO4.Su.C.1	SP.SO4.Su.C.2	SP.SO4.Su.Ch.1	SP.SO4.Su.Ch.2	SP.SO4.Su.Li.1	SP.SO4.Su.Li.2	SP.SO4.Su.m.1	SP.SO4.Su.m.2	SP.SO4.Su.NC.1	SP.SO4.Su.NC.2	SP.SO4.Su.P.1	SP.SO4.Su.P.2
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaerales_sediment.g	Phycisphaerales_sediment.g	19	18	18	38	0	0	0	0	0	7	77	29	35	42	25	29	40	23	0	0	0	0	0	0	0	0	40	76	26	43	35	45	69	79	0	0	0	0	0	0	0	0	33	48	65	77	0	11
Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaerales_CPla-3	Tepidisphaerales_CPla-3	0	0	3	0	126	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	249	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetota	Phycisphaerae_Pla1	Phycisphaerae_Pla1	Phycisphaerae_Pla1	Phycisphaerae_Pla1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	0	0	0	51	106	51	95	57	50	37	82	0	0	0	0	0	0	0	0	18	47	35	55	0	0
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae_unclass	42	23	0	27	0	0	0	0	0	0	11	0	56	38	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	11	0	0	9	0	0	0	0	0	0	20	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae_Pir4	12	0	0	0	0	0	0	0	0	0	23	0	8	8	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae_unclass	90	45	11	66	0	0	0	0	0	0	204	34	129	83	56	82	0	0	0	0	0	0	0	0	0	2	0	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	16	14	0	0
Bacteria	Planctomycetota	Planctomycetota_OM190	Planctomycetota_OM190	Planctomycetota_OM190	Planctomycetota_OM190	15	0	14	0	0	0	0	0	0	0	32	17	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetota	Planctomycetota_unclass	Planctomycetota_unclass	Planctomycetota_unclass	Planctomycetota_unclass	47	17	0	16	0	0	0	0	0	0	53	6	30	29	12	41	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclass	Alphaproteobacteria_unclass	Alphaproteobacteria_unclass	15	0	0	13	0	0	0	0	0	0	21	0	0	11	13	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	16	14	16	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	0	0	0	0	0	0	0	0	0	0	19	7	14	14	9	7	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	10	0	13	0	0	0	0	0	0	0	0	0	7	16	19	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloligellaceae	18	7	0	0	0	0	0	0	0	0	70	27	38	34	15	20	0	0	0	0	0	0	0	0	0	0	0	22	14	0	11	8	27	13	0	0	0	0	0	0	0	0	0	11	36	37	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor	0	10	0	9	0	0	0	0	0	0	0	17	27	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	12	0	16	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_IncSed	Nordella	0	0	0	0	0	0	6	0	0	0	24	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloligellaceae_unclass	48	0	0	60	0	0	0	0	0	0	156	53	121	89	52	70	0	0	0	0	0	0	0	0	0	0	31	45	28	25	49	0	75	79	0	0	0	0	0	0	0	0	48	81	114	79	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_IncSed	Rhizobiales_IncSed	12	15	0	8	0	0	0	0	0	0	60	5	33	31	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae_unclass	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonadaceae_unclass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclass	0	0	0	0	0	0	0	0	0	0	33	12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclass	0	0	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclass	13	0	0	0	0	0	0	0	0	0	0	18	0	0	35	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclass	0	0	0	0	0	0	0	0	41	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	80	0	0	0	0	0	0	0	0	0	0	0	130	0	0	2493	1754	0	0	300	1627	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	0	0	0	0	0	0	118	232	0	0	0	0	0	0	31	21	0	0	0	0	31	0	0	0	1437	2073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	183	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella	10	0	0	0	0	0	0	0	0	0	21	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_B1-7BS	Burkholderiales_B1-7BS	46	30	0	39	0	0	0	0	0	6	77	28	21	39	29	19	13	0	0	0	0	0	0	0	0	0	10	18	10	9	16	11	0	13	0	0	0	0	0	0	0	0	0	0	22	15	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_TRA3	Burkholderiales_TRA3	0	0	0	0	0	0	0	0	0	0	14	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
